"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: A Sequest HT"	"Score Sequest HT: B Sequest HT"	"Score Sequest HT: C Sequest HT"	"Score Sequest HT: D Sequest HT"	"Score Sequest HT: E Sequest HT"	"Score Sequest HT: F Sequest HT"	"Score Sequest HT: G Sequest HT"	"Score Sequest HT: H Sequest HT"	"Score Sequest HT: I Sequest HT"	"Score Sequest HT: J Sequest HT"	"Score Sequest HT: K Sequest HT"	"Score Sequest HT: L Sequest HT"	"Score Sequest HT: M Sequest HT"	"Score Sequest HT: N Sequest HT"	"Score Sequest HT: O Sequest HT"	"Score Sequest HT: P Sequest HT"	"# Peptides (by Search Engine): A Sequest HT"	"# Peptides (by Search Engine): B Sequest HT"	"# Peptides (by Search Engine): C Sequest HT"	"# Peptides (by Search Engine): D Sequest HT"	"# Peptides (by Search Engine): E Sequest HT"	"# Peptides (by Search Engine): F Sequest HT"	"# Peptides (by Search Engine): G Sequest HT"	"# Peptides (by Search Engine): H Sequest HT"	"# Peptides (by Search Engine): I Sequest HT"	"# Peptides (by Search Engine): J Sequest HT"	"# Peptides (by Search Engine): K Sequest HT"	"# Peptides (by Search Engine): L Sequest HT"	"# Peptides (by Search Engine): M Sequest HT"	"# Peptides (by Search Engine): N Sequest HT"	"# Peptides (by Search Engine): O Sequest HT"	"# Peptides (by Search Engine): P Sequest HT"	"# Protein Pathway Groups"	"# Razor Peptides"	"Abundance Ratio: (F2) / (F1)"	"Abundance Ratio: (F3) / (F1)"	"Abundance Ratio: (F4) / (F1)"	"Abundance Ratio: (F5) / (F1)"	"Abundance Ratio: (F6) / (F1)"	"Abundance Ratio: (F7) / (F1)"	"Abundance Ratio: (F8) / (F1)"	"Abundance Ratio: (F9) / (F1)"	"Abundance Ratio: (F10) / (F1)"	"Abundance Ratio: (F11) / (F1)"	"Abundance Ratio: (F12) / (F1)"	"Abundance Ratio: (F13) / (F1)"	"Abundance Ratio: (F14) / (F1)"	"Abundance Ratio: (F15) / (F1)"	"Abundance Ratio: (F16) / (F1)"	"Abundances (Normalized): F1: Sample"	"Abundances (Normalized): F2: Sample"	"Abundances (Normalized): F3: Sample"	"Abundances (Normalized): F4: Sample"	"Abundances (Normalized): F5: Sample"	"Abundances (Normalized): F6: Sample"	"Abundances (Normalized): F7: Sample"	"Abundances (Normalized): F8: Sample"	"Abundances (Normalized): F9: Sample"	"Abundances (Normalized): F10: Sample"	"Abundances (Normalized): F11: Sample"	"Abundances (Normalized): F12: Sample"	"Abundances (Normalized): F13: Sample"	"Abundances (Normalized): F14: Sample"	"Abundances (Normalized): F15: Sample"	"Abundances (Normalized): F16: Sample"	"Abundance: F1: Sample"	"Abundance: F2: Sample"	"Abundance: F3: Sample"	"Abundance: F4: Sample"	"Abundance: F5: Sample"	"Abundance: F6: Sample"	"Abundance: F7: Sample"	"Abundance: F8: Sample"	"Abundance: F9: Sample"	"Abundance: F10: Sample"	"Abundance: F11: Sample"	"Abundance: F12: Sample"	"Abundance: F13: Sample"	"Abundance: F14: Sample"	"Abundance: F15: Sample"	"Abundance: F16: Sample"	"Abundances Count: F1: Sample"	"Abundances Count: F2: Sample"	"Abundances Count: F3: Sample"	"Abundances Count: F4: Sample"	"Abundances Count: F5: Sample"	"Abundances Count: F6: Sample"	"Abundances Count: F7: Sample"	"Abundances Count: F8: Sample"	"Abundances Count: F9: Sample"	"Abundances Count: F10: Sample"	"Abundances Count: F11: Sample"	"Abundances Count: F12: Sample"	"Abundances Count: F13: Sample"	"Abundances Count: F14: Sample"	"Abundances Count: F15: Sample"	"Abundances Count: F16: Sample"	"Found in Sample: [S1] F1: Sample"	"Found in Sample: [S2] F2: Sample"	"Found in Sample: [S3] F3: Sample"	"Found in Sample: [S4] F4: Sample"	"Found in Sample: [S5] F5: Sample"	"Found in Sample: [S6] F6: Sample"	"Found in Sample: [S7] F7: Sample"	"Found in Sample: [S8] F8: Sample"	"Found in Sample: [S9] F9: Sample"	"Found in Sample: [S10] F10: Sample"	"Found in Sample: [S11] F11: Sample"	"Found in Sample: [S12] F12: Sample"	"Found in Sample: [S13] F13: Sample"	"Found in Sample: [S14] F14: Sample"	"Found in Sample: [S15] F15: Sample"	"Found in Sample: [S16] F16: Sample"	"# Protein Groups"	"Modifications"
"-5876331061237715446"	"False"	"High"	"IsMasterProtein"	"Q14247"	"Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2"	"0.000"	"242.589"	"55"	"30"	"198"	"30"	"550"	"61.5"	"5.40"	"30.24"	"69.96"	"31.61"	"89.00"	"17.88"	"86.34"	"38.36"	"69.23"	"32.13"	"82.74"	"43.98"	"80.64"	""	"18.92"	""	""	"7"	"16"	"8"	"20"	"7"	"19"	"10"	"14"	"8"	"18"	"10"	"22"	""	"5"	""	""	"0"	"0"	"1.651"	"0.745"	"0.903"	"0.940"	"0.662"	"0.799"	"0.776"	"0.786"	"0.654"	"0.925"	"0.729"	"0.035"	"0.776"	"1.558"	"0.028"	"326609675.66389"	"485565626.470158"	"250040447.99793"	"313527807.783291"	"219946624.022793"	"265413304.46875"	"239521673.87754"	"319445766.240368"	"236902588.10182"	"244721953.61079"	"290551778.723523"	"323327286.819108"	"14557049.6161986"	"176888500.404961"	"28907920.7447476"	"8258906.88004607"	"140117667.4375"	"460396670.5625"	"145758544.890625"	"239448498.140625"	"98190964.359375"	"265413304.46875"	"121328463.765625"	"201195874.34375"	"120054433.523438"	"241704802.234375"	"154852140.5"	"209311459.829102"	"776225.096435547"	"65185292.90625"	"2396420.625"	"435483.620605469"	"20"	"32"	"22"	"34"	"17"	"30"	"20"	"33"	"16"	"31"	"23"	"32"	"7"	"16"	"5"	"7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	""
"-3688625229951110619"	"False"	"High"	"IsMasterProtein"	"P02538"	"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3"	"0.000"	"184.849"	"49"	"31"	"197"	"3"	"564"	"60.0"	"8.00"	"21.05"	"40.66"	"30.04"	"67.49"	"15.35"	"23.69"	"29.71"	"15.99"	"17.82"	"81.18"	"20.80"	"73.15"	"27.29"	"13.06"	"24.95"	"38.04"	"9"	"11"	"10"	"18"	"7"	"6"	"10"	"6"	"7"	"19"	"7"	"18"	"9"	"7"	"10"	"13"	"0"	"10"	"0.914"	"1.406"	"2.399"	"1.349"	"0.662"	"0.748"	"0.744"	"0.504"	"3.558"	"0.774"	"7.926"	"8.978"	"0.909"	"3.147"	"5.185"	"19106525.225507"	"32081193.7620951"	"35714022.8993638"	"70482422.2594949"	"15507315.7164022"	"19543358.1875"	"19336250.6579484"	"26838963.6672578"	"12615423.113604"	"113023923.224702"	"11648800.9426662"	"115727589.14197"	"253255171.997905"	"16627008.150329"	"84055215.0304485"	"169629222.331415"	"8196823.140625"	"30418287.4375"	"20819127.671875"	"53829069.5"	"6922944.5625"	"19543358.1875"	"9794677.65625"	"16903929.65625"	"6393081.171875"	"111630463.09375"	"6208331.5"	"74918238"	"13504317.5292969"	"6127229.265625"	"6968043.55859375"	"8944373.5078125"	"7"	"10"	"7"	"11"	"5"	"8"	"6"	"10"	"5"	"13"	"5"	"10"	"11"	"7"	"9"	"11"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"1"	""
"-9125415552757105331"	"False"	"High"	"IsMasterProtein"	"Q05639"	"Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1"	"0.000"	"136.413"	"32"	"14"	"194"	"1"	"463"	"50.4"	"9.03"	"41.99"	"45.80"	"45.75"	"39.32"	"44.41"	"47.30"	"55.18"	"51.49"	"39.11"	"53.62"	"64.95"	"41.20"	"7.83"	"33.58"	""	"3.86"	"7"	"10"	"8"	"8"	"7"	"11"	"8"	"9"	"7"	"8"	"7"	"9"	"1"	"7"	""	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-4288023909312929848"	"False"	"High"	"IsMasterProtein"	"P06744"	"Glucose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=GPI PE=1 SV=4"	"0.000"	"214.216"	"50"	"22"	"194"	"22"	"558"	"63.1"	"8.32"	"48.85"	"67.36"	"48.84"	"74.22"	"40.90"	"62.34"	"49.74"	"52.62"	"50.12"	"67.76"	"53.61"	"43.25"	""	"38.46"	""	""	"11"	"13"	"13"	"16"	"7"	"12"	"11"	"12"	"8"	"14"	"12"	"9"	""	"8"	""	""	"0"	"0"	"0.958"	"1.299"	"0.691"	"0.995"	"0.945"	"1.179"	"0.703"	"1.052"	"0.893"	"1.346"	"0.699"	"0.018"	"0.807"	"0.356"	"0.015"	"231361579.124303"	"210011933.223039"	"251522212.532662"	"190698467.360546"	"237865335.618043"	"189403593.890625"	"250444356.53854"	"163758373.516205"	"238904940.325133"	"189760096.892084"	"270488873.656384"	"154145064.355961"	"6389353.18424831"	"188244716.712205"	"12923774.7475474"	"29161583.8653651"	"99255616.7714844"	"199126111"	"146622324.507813"	"145640866.53125"	"106190430.5"	"189403593.890625"	"126861292.114746"	"103139601.84375"	"121069159.71875"	"187420564.5"	"144159437.78125"	"99788448.921875"	"340699.277832031"	"69370179.34375"	"1071360.359375"	"1537660.16601563"	"20"	"21"	"18"	"22"	"18"	"21"	"19"	"22"	"19"	"22"	"20"	"21"	"3"	"16"	"3"	"4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"5513100547130879649"	"False"	"High"	"IsMasterProtein"	"P13797"	"Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4"	"0.000"	"246.996"	"45"	"26"	"193"	"26"	"630"	"70.8"	"5.60"	"41.65"	"81.82"	"44.55"	"73.96"	"21.39"	"75.41"	"30.62"	"59.35"	"35.78"	"69.68"	"40.67"	"58.46"	""	"16.91"	""	""	"8"	"15"	"10"	"14"	"6"	"16"	"7"	"12"	"10"	"13"	"10"	"12"	""	"6"	""	""	"0"	"0"	"1.046"	"1.144"	"0.993"	"0.873"	"0.923"	"0.776"	"1.108"	"0.925"	"0.998"	"0.832"	"1.236"	"1.646"	"0.779"	"0.627"	"1.299"	"143830583.895593"	"225998132.307188"	"178314155.446073"	"222464806.20086"	"148787098.243324"	"217939728.46875"	"145870287.980819"	"202895745.731988"	"138707734.56222"	"176117675.752137"	"133525627.929045"	"195066535.748433"	"31063751.7264951"	"127056848.893567"	"6040839.63474842"	"37466717.3479595"	"61704252.578125"	"214283676.59375"	"103946429.625"	"169901560.28125"	"66423154.8251953"	"217939728.46875"	"73889839.125"	"127789413.03125"	"70292514.03125"	"173946339.34375"	"71163664.484375"	"126279664.679688"	"1656411.45117188"	"46821799.5625"	"500775.9921875"	"1975581.26757813"	"21"	"26"	"24"	"27"	"20"	"26"	"19"	"24"	"17"	"24"	"19"	"25"	"6"	"13"	"3"	"6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Acetyl [N-Term]"
"7379954125319751521"	"False"	"High"	"IsMasterProtein"	"P48643"	"T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1"	"0.000"	"228.549"	"57"	"24"	"192"	"24"	"541"	"59.6"	"5.66"	"45.52"	"53.08"	"57.23"	"50.19"	"31.49"	"54.13"	"78.27"	"31.07"	"52.96"	"51.98"	"66.68"	"42.54"	""	"39.46"	""	""	"11"	"13"	"14"	"11"	"8"	"13"	"16"	"8"	"12"	"11"	"13"	"10"	""	"12"	""	""	"0"	"0"	"0.782"	"1.114"	"0.912"	"1.270"	"1.008"	"1.214"	"0.961"	"1.352"	"0.895"	"1.324"	"1.039"	"0.842"	"1.547"	"0.417"	"0.756"	"175142563.431722"	"129782764.542907"	"218189507.430571"	"133929751.203686"	"209057608.531723"	"148453569.59375"	"249804841.18943"	"133227064.251559"	"209686580.765161"	"134044403.022091"	"249503802.932278"	"123299355.882281"	"47174688.3621284"	"212037768.388323"	"77844824.1161119"	"45748183.3289171"	"75137294.7148438"	"123055565.375"	"127191361.910156"	"102285274.179688"	"93329771.6188965"	"148453569.59375"	"126537348.925781"	"83910129.703125"	"106262256.875"	"132391783.59375"	"132975258.71875"	"79819950.953125"	"2515494.41601563"	"78138171.8310547"	"6453212.03515625"	"2412254.40625"	"26"	"28"	"24"	"26"	"25"	"27"	"27"	"28"	"25"	"28"	"29"	"27"	"7"	"24"	"3"	"4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"2730798192549930886"	"False"	"High"	"IsMasterProtein"	"P08123"	"Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7"	"0.000"	"264.951"	"48"	"39"	"192"	"39"	"1366"	"129.2"	"8.95"	"77.19"	"29.14"	"54.96"	"53.03"	"57.71"	"49.96"	"40.83"	"48.87"	"61.98"	"39.37"	"30.45"	"51.75"	""	"98.62"	""	""	"17"	"8"	"12"	"13"	"16"	"11"	"11"	"13"	"15"	"10"	"9"	"13"	""	"22"	""	""	"0"	"0"	"0.291"	"0.523"	"0.340"	"0.669"	"0.285"	"0.387"	"0.343"	"0.663"	"0.284"	"0.504"	"0.389"	"0.467"	"1.032"	"0.086"	"1.846"	"250233388.731111"	"105316125.348535"	"138951014.2873"	"127803401.136578"	"158131199.276971"	"114678258"	"118543182.478253"	"136413737.55033"	"165336847.49391"	"92416965.1919548"	"125170465.841021"	"136270601.922512"	"29093210.0073211"	"347940212.469045"	"26385748.8747494"	"43623549.8879174"	"107351745.390625"	"99857137.375"	"81000085.4492188"	"97606437.7695313"	"70594650.0488281"	"114678258"	"60047435.3203125"	"85917185.6367188"	"83787271.9140625"	"91277566.0917969"	"66710706.9453125"	"88217109.359375"	"1551336.31738281"	"128219667.257813"	"2187336.59082031"	"2300224.68164063"	"28"	"28"	"26"	"30"	"27"	"31"	"26"	"31"	"28"	"26"	"24"	"28"	"5"	"30"	"7"	"6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	""
"8288854614025876019"	"False"	"High"	"IsMasterProtein"	"P62258"	"14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1"	"0.000"	"194.972"	"78"	"21"	"192"	"18"	"255"	"29.2"	"4.74"	"30.50"	"88.11"	"39.21"	"78.61"	"17.79"	"93.11"	"23.93"	"68.91"	"18.84"	"77.14"	"36.72"	"69.00"	""	"14.26"	""	""	"8"	"18"	"10"	"16"	"4"	"14"	"5"	"13"	"3"	"12"	"7"	"12"	""	"3"	""	""	"0"	"0"	"1.143"	"0.981"	"1.409"	"0.550"	"1.535"	"0.930"	"1.076"	"0.987"	"1.387"	"1.191"	"1.330"	"3.423"	"0.805"	"3.508"	"5.000"	"137892189.735551"	"322367395.410378"	"184920030.44126"	"307303401.615826"	"81794982.5050723"	"345286828.5"	"156095804.291036"	"281652050.588665"	"122061195.182686"	"298238349.234553"	"173219057.908381"	"277922026.927792"	"72365470.9360501"	"109499560.423939"	"123460225.150579"	"61523547.769725"	"59156643"	"305657706.09375"	"107797257.5"	"234694774"	"36515805.8125"	"345286828.5"	"79069521.46875"	"177392335.625"	"61856595.828125"	"294561399.8125"	"92318629.09375"	"179917586.75"	"3858741.71875"	"40351752.109375"	"10234656.1875"	"3244073.0625"	"12"	"19"	"15"	"17"	"9"	"20"	"10"	"18"	"12"	"19"	"14"	"18"	"3"	"11"	"3"	"2"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Acetyl [N-Term]"
"8372900262212064526"	"False"	"High"	"IsMasterProtein"	"P09651"	"Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5"	"0.000"	"216.196"	"52"	"23"	"191"	"22"	"372"	"38.7"	"9.13"	"32.24"	"79.67"	"35.74"	"61.32"	"26.27"	"83.58"	"46.17"	"65.46"	"38.37"	"78.65"	"45.07"	"72.56"	"2.04"	"30.87"	""	""	"8"	"15"	"9"	"10"	"6"	"15"	"10"	"12"	"8"	"14"	"12"	"13"	"1"	"6"	""	""	"0"	"0"	"1.542"	"0.936"	"1.194"	"0.868"	"1.416"	"0.843"	"1.381"	"0.960"	"1.418"	"1.649"	"1.301"	"1.636"	"0.948"	"0.748"	"1.139"	"98466040.8417395"	"207786227.307786"	"99279407.9181328"	"146801323.611911"	"72739070.2387133"	"160294065.5625"	"106958179.274944"	"133763549.149872"	"83509140.3103929"	"165884565.904614"	"117957457.514995"	"148222833.805053"	"111588945.531036"	"110478509.412103"	"63692992.053373"	"100867239.489763"	"42242569.6253662"	"197015773"	"57873924.6054688"	"112115594.1875"	"32472966.953125"	"160294065.5625"	"54179111.9296875"	"84248022.890625"	"42319683.4375"	"163839392.4375"	"62866470.3564453"	"95954591.4882813"	"5950253.81445313"	"40712505.21875"	"5280047.67871094"	"5318625.24804688"	"15"	"26"	"19"	"27"	"13"	"25"	"17"	"19"	"16"	"27"	"15"	"23"	"17"	"14"	"13"	"10"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"3944775931209301438"	"False"	"High"	"IsMasterProtein"	"P60660"	"Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2"	"0.000"	"175.426"	"79"	"14"	"191"	"14"	"151"	"16.9"	"4.65"	"41.01"	"49.12"	"43.06"	"35.68"	"40.93"	"72.53"	"60.17"	"56.40"	"52.60"	"48.78"	"54.44"	"62.80"	""	"36.94"	""	""	"8"	"8"	"8"	"7"	"7"	"9"	"7"	"10"	"9"	"7"	"9"	"9"	""	"6"	""	""	"0"	"0"	"0.751"	"0.882"	"0.579"	"0.863"	"0.463"	"0.801"	"0.604"	"0.914"	"0.357"	"0.944"	"0.560"	"0.092"	"1.013"	"0.518"	"0.171"	"697518853.324959"	"624774511.26314"	"630144614.748186"	"601012787.347443"	"584757517.383986"	"559370996.46875"	"564603007.04214"	"606077991.765812"	"658143453.366698"	"519332932.150167"	"628291740.633969"	"613269960.972117"	"16747827.3915205"	"656442199.964123"	"43837218.7629406"	"17374293.6643195"	"299240108.3125"	"592389759.8125"	"367336416.375"	"459007481.0625"	"261053811.59375"	"559370996.46875"	"285996729.953125"	"381724863.375"	"333525438.046875"	"512930130.734375"	"334853640.625"	"397010818.55249"	"893043.870483398"	"241905929.34375"	"3634035.671875"	"916128.541015625"	"18"	"20"	"17"	"19"	"15"	"19"	"18"	"21"	"19"	"18"	"20"	"18"	"6"	"18"	"5"	"4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Met-loss+Acetyl [N-Term]"
"3602445909866352508"	"False"	"High"	"IsMasterProtein"	"P19338"	"Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3"	"0.000"	"217.891"	"33"	"26"	"190"	"26"	"710"	"76.6"	"4.70"	"50.34"	"65.48"	"49.18"	"34.99"	"32.71"	"66.59"	"48.15"	"37.61"	"35.97"	"64.20"	"52.65"	"51.47"	""	"42.59"	"2.61"	""	"12"	"15"	"12"	"11"	"11"	"14"	"13"	"9"	"10"	"12"	"12"	"12"	""	"12"	"1"	""	"0"	"0"	"0.885"	"0.914"	"0.603"	"1.010"	"0.656"	"1.016"	"0.676"	"1.089"	"0.619"	"1.062"	"0.572"	"0.058"	"1.697"	"0.608"	"0.127"	"176917852.091802"	"146525164.490653"	"181559698.113755"	"110428696.771332"	"186659661.580296"	"126755928.9375"	"208269066.010056"	"116704684.787135"	"191379678.234823"	"115177579.478233"	"211106481.149972"	"126000155.709967"	"12109863.3648642"	"267728129.157226"	"19238910.3030851"	"2156144.69160989"	"75898905.0546875"	"138930134.6875"	"105838385.828125"	"84336970.875"	"83330636.5078125"	"126755928.9375"	"105497617.0625"	"73503873.1992188"	"96984921.28125"	"113757567.144531"	"112511066.4375"	"81568360.0039063"	"645733.861328125"	"98660661.8203125"	"1594875.046875"	"113691.280273438"	"22"	"22"	"25"	"21"	"21"	"25"	"23"	"20"	"20"	"21"	"24"	"22"	"4"	"17"	"2"	"3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"1"	""
"-6086246065885053041"	"False"	"High"	"IsMasterProtein"	"P02533"	"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4"	"0.000"	"292.384"	"64"	"31"	"190"	"11"	"472"	"51.5"	"5.16"	"16.78"	"29.06"	"19.76"	"44.60"	"15.98"	"24.70"	"33.52"	"14.07"	"11.54"	"143.86"	"6.76"	"55.24"	"54.26"	"18.10"	"29.86"	"46.07"	"5"	"9"	"8"	"13"	"3"	"8"	"9"	"4"	"5"	"28"	"3"	"11"	"13"	"6"	"8"	"16"	"0"	"15"	"1.610"	"1.369"	"2.712"	"0.783"	"0.931"	"1.264"	"1.090"	"0.605"	"5.950"	"0.868"	"1.617"	"8.458"	"0.700"	"6.808"	"8.755"	"101997581.13437"	"156006781.369828"	"138764612.602903"	"213263759.571993"	"88747522.5364764"	"121076372.765625"	"132903450.713452"	"108703865.522397"	"99117497.7417166"	"381125635.481986"	"90533120.3982738"	"220897907.935515"	"384262340.710787"	"65368930.4994272"	"264390145.304085"	"458503119.375255"	"43757623.296875"	"147920278.5625"	"80891424.4765625"	"162874506.40625"	"39619634.359375"	"121076372.765625"	"67321554.84375"	"68464733.546875"	"50229485.203125"	"376426777.375"	"48250427.3125"	"143002046.125"	"20490008.6445313"	"24089145.828125"	"21917522.2890625"	"24176395.421875"	"14"	"19"	"17"	"22"	"13"	"19"	"16"	"16"	"13"	"26"	"13"	"24"	"19"	"15"	"18"	"20"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"Peak Found"	"High"	"High"	"1"	""
"-1450740357169926082"	"False"	"High"	"IsMasterProtein"	"P40121"	"Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2"	"0.000"	"270.383"	"58"	"19"	"190"	"19"	"348"	"38.5"	"6.19"	"38.05"	"82.95"	"45.75"	"72.32"	"42.73"	"87.17"	"39.53"	"58.07"	"45.56"	"82.05"	"33.93"	"73.37"	""	"37.88"	""	""	"6"	"13"	"8"	"12"	"6"	"14"	"7"	"12"	"8"	"12"	"6"	"12"	""	"6"	""	""	"0"	"0"	"0.436"	"0.705"	"0.402"	"0.948"	"0.670"	"0.704"	"0.418"	"0.990"	"0.488"	"0.733"	"0.361"	"3.678"	"0.689"	"1.073"	"1.020"	"237312964.551714"	"242363172.084704"	"171367253.850912"	"212386296.574668"	"239185520.188582"	"236213385.171875"	"140930547.430456"	"203906665.87055"	"211954712.308916"	"231793908.358335"	"168279531.225377"	"210476978.980591"	"151188574.869619"	"184604938.491969"	"111919747.276203"	"126017808.836469"	"101808799.6875"	"229800445.9375"	"99896803.75"	"162204367.453125"	"106779801.65625"	"236213385.171875"	"71387639.125"	"128426118.796875"	"107411671.28125"	"228936145.5"	"89686064.65625"	"136255879.1875"	"8061823.59765625"	"68028882.375"	"9277968.9375"	"6644788.765625"	"15"	"25"	"14"	"23"	"14"	"26"	"14"	"23"	"16"	"23"	"16"	"23"	"3"	"12"	"6"	"5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"1"	"Acetyl [N-Term]"
"6101173507286650100"	"False"	"High"	"IsMasterProtein"	"O43852"	"Calumenin OS=Homo sapiens OX=9606 GN=CALU PE=1 SV=2"	"0.000"	"268.030"	"63"	"24"	"189"	"24"	"315"	"37.1"	"4.64"	"28.48"	"97.80"	"31.56"	"75.72"	"20.73"	"76.74"	"30.90"	"67.60"	"34.22"	"87.55"	"34.59"	"108.09"	""	"25.71"	""	""	"6"	"14"	"6"	"14"	"4"	"12"	"7"	"13"	"7"	"15"	"8"	"18"	""	"6"	""	""	"0"	"0"	"0.878"	"1.089"	"0.800"	"0.761"	"0.684"	"0.961"	"0.864"	"0.816"	"0.470"	"1.123"	"0.816"	"1.505"	"0.806"	"0.010"	"0.188"	"262922451.669589"	"285660658.300672"	"266236298.07639"	"288089150.976817"	"186463300.704449"	"240088112.429688"	"241000001.315106"	"284757864.163329"	"243364347.749851"	"225450709.389501"	"300842034.004405"	"309717241.045669"	"40349190.4118525"	"217768392.488409"	""	"50368677.1022691"	"112795435.62207"	"270853637.125"	"155199751.541809"	"220020402.71875"	"83242974.949707"	"240088112.429688"	"122077302.875"	"179348463.84375"	"123329040.611206"	"222671151.167969"	"160336423.072754"	"200500763.46875"	"2151538.60461426"	"80249967.734375"	""	"2655888.265625"	"10"	"23"	"13"	"20"	"9"	"21"	"11"	"19"	"12"	"21"	"12"	"19"	"5"	"9"	""	"5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"1"	""
